"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Household textiles","Dollars","81","millions","6","v62700480","1.1.1.29","922","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major household appliances","Dollars","81","millions","6","v62700481","1.1.1.30","1732","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major household appliances","Dollars","81","millions","6","v62700481","1.1.1.30","1770","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major household appliances","Dollars","81","millions","6","v62700481","1.1.1.30","1797","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major household appliances","Dollars","81","millions","6","v62700481","1.1.1.30","1778","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major household appliances","Dollars","81","millions","6","v62700481","1.1.1.30","1757","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small electric household appliances","Dollars","81","millions","6","v62700482","1.1.1.31","539","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small electric household appliances","Dollars","81","millions","6","v62700482","1.1.1.31","542","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small electric household appliances","Dollars","81","millions","6","v62700482","1.1.1.31","565","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small electric household appliances","Dollars","81","millions","6","v62700482","1.1.1.31","568","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small electric household appliances","Dollars","81","millions","6","v62700482","1.1.1.31","576","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major tools and equipment","Dollars","81","millions","6","v62700483","1.1.1.32","776","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major tools and equipment","Dollars","81","millions","6","v62700483","1.1.1.32","801","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major tools and equipment","Dollars","81","millions","6","v62700483","1.1.1.32","791","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major tools and equipment","Dollars","81","millions","6","v62700483","1.1.1.32","792","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Major tools and equipment","Dollars","81","millions","6","v62700483","1.1.1.32","818","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small tools and miscellaneous accessories","Dollars","81","millions","6","v62700484","1.1.1.33","731","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small tools and miscellaneous accessories","Dollars","81","millions","6","v62700484","1.1.1.33","750","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small tools and miscellaneous accessories","Dollars","81","millions","6","v62700484","1.1.1.33","749","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small tools and miscellaneous accessories","Dollars","81","millions","6","v62700484","1.1.1.33","760","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Small tools and miscellaneous accessories","Dollars","81","millions","6","v62700484","1.1.1.33","750","","","","0"
"2017-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other semi-durable household goods","Dollars","81","millions","6","v62700485","1.1.1.34","1899","","","","0"
"2018-01","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other semi-durable household goods","Dollars","81","millions","6","v62700485","1.1.1.34","1917","","","","0"
"2018-04","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other semi-durable household goods","Dollars","81","millions","6","v62700485","1.1.1.34","1951","","","","0"
"2018-07","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other semi-durable household goods","Dollars","81","millions","6","v62700485","1.1.1.34","1990","","","","0"
"2018-10","Canada","2016A000011124","Current prices","Seasonally adjusted at quarterly rates","Other semi-durable household goods","Dollars","81","millions","6","v62700485","1.1.1.34","1970","","","","0"
